s1,s2,label
protección comprador terminado,protección comprador fideicomiso,0
puedo abrir disputa cómo puedo contactar vendedor,cuándo puedo abrir disputa,0
hola veo mensaje envié hace minuto,dónde puedo ver mensaje envié,0
tienda cómo encontrar nave producto ee uu,cómo puedo encontrar compré recientemente,0
enlace vacío,enlace,1
muchachos dijeron pago espera,quiero hacer pago artículos,0
solicito reembolso solicitud recibido,cómo solicito reembolso,1
cómo eliminar mensajes,cómo borro cuenta,0
hola número orden puedo encontrarlo cuenta,puedo encontrar detalles pedido,1
cómo modificar número teléfono móvil,cómo cambio número teléfono,1
19 5000 acabo cancelar,acabo romper novio,0
cómo eliminar pedido carrito compras,cómo elimino elementos carrito,1
cuándo colocará pedido,cuándo enviará pedido,1
cómo dejar comentarios tienda vendedor,cuándo puedo dejar comentarios,0
quiero cambiar tarjeta crédito registrada pago,quiero cambiar opinión dejé,0
mirando papel mural papel tapiz registro madera súper grueso 3d,puedo conectarme,0
confirmar bienes recibidos,confirmación orden recibida,1
recibí pedido vendedor acaba decir envió quiere devolverme,vendedor cambia operador avisarme ahora quiere pague cargos adicionales,0
compré tienda roy wang,quiero encontrar tienda,0
todavía allí tampoco,puedo seguir usando cupones después pagar,0
puedo pagar iniciado sesión sesión anterior expirado regístrese nuevo,puedo pagar pedido efectivo,0
sé cuál respuesta,vendedor respondió reembolso puedo hacer,0
alguna pregunta así dime dirección correo electrónico,pregunta,1
vendedor chantajeando cambiar motivo disputa cierto,cómo puedo cambiar razón cancelar pedido,0
cómo poner información envío disputa,puse dirección envío incorrecta,0
cómo cargo foto disputa,puedo subir fotos,0
pedí bolsas té noviembre llegado,pedido compra llegó artículo daño,0
puedo usar cupón finalice compra cupón aparece,cupón puedo solicitarlo compra,1
ahora chat yendo bien,dinero ahora,0
cómo cargo foto,puedo subir documentos,1
necesito ayuda apelación,necesito ayuda ubicar pedido,0
gustaría saber objeto compré puedo acceder seguimiento código,gustaría saber comentarios vendedor,0
sé problema,cómo sé estafa,0
cómo puedo enviar solicitud garantía,puedo hacer si vendedor rechaza solicitud reembolso,0
puede favor enviarme número teléfono pueda hablar alguien 2 días solucionó problema,número teléfono poder hacer pedido,0
puedo encontrar código barras,puedo encontrar producto tienda,0
quiero disputa amorosa abierta puedo,quiero abrir disputa página funciona,1
poder ordenar cabello 3 piezas ahora posible,parece puedo ordenar,0
cómo responder disputa escalada,gustaría detener aumento disputas,0
extender tiempo entrega,tiempo estimado entrega,0
puedes reactivar orden cancelada,orden cancelada puedo hacer,0
enviar irán,usted envía españa,1
devolver dinero 149 uds,cómo recupero dinero,1
tratando descubrir canceló pedido,pedido canceló seguridad,0
cómo puedo cancelar pedido,cómo puedo confirmar pedido,0
posible hablar servicio cliente,posible elegir tamaño,0
quiero subir foto,puedo mostrarle foto,0
eliminar tarjeta crédito,tipo tarjeta crédito,0
traje así necesito reembolso,recibí pedidos así intensifiqué sido siempre,0
hola solo italiano,cómo puedo contactarte italiano,1
colega dijo restaurado,vendedor dijo stock pidió cancelara,0
pago escribe motivos seguridad proceso puede continuar,orden cerró razones seguridad,1
quiero pagar quiero pasar tarjeta supongo compré tiempo intenté volver ingresar visa tarjeta datos gritar 19 07 terminó nuevo,cómo puedo comprar productos si tarjeta visa,0
persona viva,alguna manera poder hablarle persona vivo teléfono,1
ordenado sido cancelados,cobrado demasiado,0
filtro tiempo entrega puede especificar,cómo puedo verificar si dirección correcta entrega,0
tarjeta digo quiero abrir disputa página da error,dando error intento comprar,0
favor acepte tbc,aceptas money grams,0
necesito hablar apoyo humano,necesito asistente humano,1
si producto alemania entregado finlandia pagar aduanas impuestos,cuántas aduanas derechos importación debo pagar,1
recibido bienes,recibido bienes incautado aduanas,0
debo solicitar producto alemania entregado finlandia pagar impuestos impuestos,confundido si pagar impuestos derechos aduana,1
siento escribí mensaje todavía esperando reembolso,pagué pedido decía todavía esperando pago,0
dirección predeterminada,dirección funciona,0
cómo obtengo factura,cómo puedo obtener factura,1
puede hacer pedido,puedo hacer pedido,1
necesito confirmes tarjeta crédito,cuándo verificarás tarjeta crédito,1
hice solicitud llegó vendedor contactó autorizó reembolso monto desean pagar bajo pagué pedido debería hacer,si orden inferior 10 pagaré envío,0
productos compré funcionan puesto contacto vendedor directamente solo recibo emojis respuestas puede abrir disputa,quiero abrir disputa página funciona,1
cómo reportar vendedor,cómo informo vendedor,1
problemas enviar id,problemas último pedido,0
podemos encontrar llenar formulario reembolso,cómo completé dirección entrega,0
esperando respuesta,respuesta automática,0
protección compradores,quiero contarles compradores productos compré puedo hacer,0
podría ver si reembolso debe,puedo verificar reembolso sido transferencia,1
hola fecha caducidad vencida cómo cambio fecha envío nueva tarjeta nueva fecha,cómo solicito envío tiempo procesamiento expirado,0
puede hacer pedido,puedo hacer pedido puedo hacer,1
abrí disputa,abrí disputa aceptaron reembolsar dinero,0
cómo borro órdenes,cómo elimino mensajes,0
puedo iniciar sesión,permiso iniciar sesión,1
sé problema,quiero pagar sé cómo,0
acabo enviar publicación,cómo puedo rastrear paquetes enviados correo,0
hola pago procesando sé tarjeta crédito funciona,tarjeta procesando,1
cómo cancelar cuenta,cómo cancelar preorden,0
pedido envió 3 mayo todavía tránsito,pagado pedido dice todavía pagado,0
favor puede dar número mave llamar,número pueda llamar,1
entiende protección comprador finalizado reembolsaron recibí pedido,si uso tarjeta crédito protección comprador,0
cómo restablecer contraseña,cómo eliminar pedido,0
intento constantemente contactar vendedor respondió necesito factura producto enviar aduana,recibí factura,1
envío cancelado,información envío momento,0
pedido sido recibido todavía,hecho pedido recibido,1
puedes verificar orden,puedes verificar si proveedor confiable,0
envío cancelado,cancela pedido,0
cómo uso dirección correo electrónico cuenta nueva,cómo cambio dirección correo electrónico,0
usted puede ayudar,puedes ayudarme,0
acaban enviar correo electrónico disputa diciéndome envíe correo electrónico vendedor vaya disputa comercial ningún correo electrónico vendedor pude encontrar disputa comercial ningún lugar sitio web,acabo unir recibido correo electrónico confirmación,0
hola vendedor reembolsado después 3 meses comunicación,vendedor enviado artículo,0
acercó semana pasada artículo pedí semana pasada quería cambiar,pasado semana presenté reclamo,0
necesito hablar maria,necesito hablar portugués,0
envío cancelado,pedido cancelado correo electrónico,1
vendedor tratando reembolsar reemplazar,vendedor aceptó términos disputa reembolso,0
quiero artículo vendedor responde mensajes,cómo comunico proveedor,0
paquete orden,puse orden dos veces quiero cancelar,0
nueva dirección correo electrónico,recibido correo electrónico confirme pedido,0
obtengo pedido,quiero cancelar pedido obtener reembolso,0
dirección correo errónea,envían orden dirección incorrecta,0
imposible enviar correos,correo aéreo china,0
si vendo aquí puedo obtener pago enviado cuenta paypal,dónde consigo paypal,0
pago espera verificación,pago esperando verificación,1
hola problema pedido puede ayudar favor,problema pedido aduana puede enviar copia factura,0
quiero comprar,quiero comprar producto,1
funciona,pago funciona,0
cómo usar transferencia bancaria,cómo pago pedido transferencia bancaria,0
cómo cambiar método pago,cómo puedo cambiar método envío,0
usted computadora,computadora recibes pregunta,1
quiero encontrar proveedores país,quiero enviar país,0
ahora recibido pago devuelto,proveedor recibido productos devueltos cuándo puedo recibir reembolso,0
señor comprarle producto señor,noticias compra,0
obtener supervisor favor,necesito hablar supervisor,1
necesito dinero,necesito factura compra,0
puedo obtener recibo pago órdenes vendedores,quiero recibir recibo,1
envío llegó,artículo llega,1
necesito últimos 4 dígitos,contacté última vez,0
cancelado envío,quiero verificar envío,0
cómo suscribirse,cuánto producto,0
dinero devuelto,devolverá cupón,0
hola vendedor dio nuevo número seguimiento cómo debo usarlo,vendedor dio artículo defectuoso,0
envío sido cancelado,pedido sido cancelado,0
quiero cambiar tarjeta crédito registrada pago,quiero hacer desee pago tarjeta crédito,0
dónde obtener reembolso,dónde reembolso,1
correo electrónico registro funciona,recibí confirmación registro correo electrónico,0
cómo puedo agregar paypal,cómo puedo agregar número casa registro,0
vendedor anuncia precio incorrecto,vendedor descuenta precio hago pedido veo precio anterior,0
puedo ver orden,cómo puedo ver comentarios pedido,0
incapaz configurar dirección envío,dirección envío disponible,1
gustaría número seguimiento cómo puedo obtener,cómo obtener número seguimiento,1
necesito hablar apoyo humano,necesito hablar portugués,0
gustaría saber objeto compré puedo acceder seguimiento código,gustaría saber si acepta paypal,0
recibí producto aparece botón confirmar recibir,hice preguntas producto recibí respuesta,0
puntos recompensa,obtuve puntos puedo hacer,0
monedas agregan,puntos recompensados ​​no agregan,0
cambiar información tarjeta,necesito cambiar detalles tarjeta crédito,1
puede enviar número teléfono recibir atención cliente unidos,cuál número teléfono servicio cliente,1
envié video,productos enviaste baja calidad,0
carrito vacio,pedido vacío,0
cómo extiendo tiempo procesamiento orden,tiempo procesamiento terminado quiero extenderlo,1
alguna forma saber cuándo entregará realmente pedido,gracias cualquier manera,0
cómo abro disputa,cómo abro disputa,1
después artículo recibido descubrí funcionando,cómo recibo reembolso tarjeta crédito después 20 días hábiles,0
cómo pago dinero,cómo puedo pagar dinero reembolsado,0
cómo administro carrito compras,cómo pago pedidos carrito compras,0
cómo puedo verificar número pedido,cómo agrego número orden compra pedido,0
compré página línea entrega escrito 30 50 días,cuántos días puedo esperar entrega,1
cómo retirar tarjeta crédito,edad jack ma,0
cómo obtengo número pedido,cómo edito número fax,0
cuál lista deseos,compartir lista deseos,0
cuándo resolverá caso necesito comprar bienes puedo,proveedor recibido productos devueltos cuándo puedo recibir reembolso,0
precio,cuál precio,1
quiero usar método pago,puedo enviar cheque método pago,0
seguro significa 25cm 33cm,seguro si pagué artículo,0
hola buenas noches necesito ayuda puedo emitir ticket pagar cuenta,necesito ayuda,0
esperando respuesta,esperando,1
recibí pedido color veinte días incorrecto,vendedor envió color incorrecto,0
cómo intercambiar monedas,cómo puedo hacer intercambio,0
olvidé contraseña solo quiero cambiarlo frecuentemente,quiero cambiar contraseña olvidé pregunta seguridad,0
cómo cancelo disputa,cómo cancelar aceptación disputa,0
solo cajero automático pago favor déjame saber solución,tratando obtener acceso cuenta permite,0
resultó recibí pedido malas condiciones deteriorado perdón escritura sé inglés usando traductor,puedo escribir mensajes texto,0
puse contacto vendedor pedido puedo enviar pedido producto sé cómo activar reembolso,sé,0
hablas italiano,hablas italiano,1
recibido orden,pedido cancelado recibido reembolso,0
obtén información nuevas funciones,necesito información proveedor,0
eva nombre robert quandt,posible cambiar apellido,0
supongo robot,ahí robot,1
hola recibido producto error todavía recibido,iniciar sesión error código error 83,0
uso facturas,puede usar cupón select,0
luffy puedo tener dirección dirección hinchada dio ayer,puedo cambiar calificaciones di producto,0
buenos días recibí confirmación cancelación pedido pedido finalizado recibí confirmación correo electrónico,pedido tiempo espera confirmación,0
representante arabia saudita,dropshipping,0
hacen zapatos hombres talla 12 ee uu,puedo hacer compras,0
puedo cambiar idioma español,hablas español,1
puedo encontrar información disputa rechazada,dónde información disputa,1
inicio sesión computadora lista deseos actualiza mismo aplicaciones,logré iniciar sesión cuenta,0
dónde página cupón,dónde puedo encontrar cupón vendedor,1
cómo configurar dirección envío,cómo llene dirección envío,1
preguntando,hago pregunta,1
reviso banco dinero aún reembolso,pagué pedido pago aún confirmado,0
puedo reabrir disputa,si cierro disputa puedo reabrir disputa nuevamente,0
pregunta vender,puesto contacto proveedor producto respondido pregunta,0
enviar irán,usted envía iraq,1
quiero cancelar pedido,quiero cancelar pedido,0
parte escribir código parece defectuosa,codigo area,0
necesito hablar alguien,necesito,0
conecta chat vivo nuevo,eva chat vivo funciona,1
hoy vi quiero comprar venta venta cerrará ahora puedo comprar puedo iniciar sesión sitio puedo hacer,cómo pago pedido preventa,0
quiero saber cualquier tienda nombre,quiero saber ahora,0
puedo ver opción disputa,puedo comprar,0
pedí tarjetas pokemon allí falsas,quiero reportar producto falso,0
ejemplo comprando 100 unidades mismo artículo si coloco carrito vendedor acceso cambiar precio si hago pedido va directo pagar listo pagar,disponible hacer pedido,0
envío producto sido cancelado puede contactar vendedor,orden sido congelada podemos cancelar pedido pedir producto diferente,0
solo cajero automático pago favor déjame saber solución,favor hagamelo saber,0
pagué pedido dos veces hago,pagué dos veces puedo hacer,1
pagué productos nunca recibido embargo puesto confirmación recibo comentario,compré producto recibido correo electrónico confirmación,0
pedí camino todavía después 3 semanas,hecho 3 pedidos,0
recibí correo electrónico confirmación registro correo electrónico nunca usé supuesto confirmé después recibí confirmación pedido hecho absoluto,puedes emitir factura pedido acabo recibir,0
idiota necesito eliminar eliminar apelación,puedes borrar cuenta,0
recibo pedido,cuándo voy recibir pedido,0
error hice dos órdenes necesito cancelar último,cómo puedo cancelar pedido acabo hacer,1
dirección predeterminada,dirección envío inglés,0
hola compré vestido mes pasado pagué enviado embargo hoy ver dónde vestido vi solicitud sido cancelada pasó,cómo compro vestido novia,0
puedo subir video,puedo subir foto,0
intento constantemente contactar vendedor respondió necesito factura producto enviar aduana,abrí disputa vendedor respondió disputa cerró,0
recibí producto aparece botón confirmar recibir,encuentro botón confirmar pedido recibido,1
cómo abrir disputa,botón abrir disputa inactivo,0
presioné haga clic botón confirmar recibo pedido envíe orden,tratando hacer pedido hago clic comprar ahora pasa,0
dónde puedo encontrar función búsqueda fotos,cómo puedo ocultar eliminar historial búsqueda,0
hablo equipo servicio,cómo comunico equipo case management,1
quiero enviar pedido sistema ocupado debería hacer,gusta pedido quiero devolverlo,0
puedo presentarle amigo,acabo romper novio,0
entiendes,eva entendiste pregunta,0
tiempo,cómo presento disputa después recibir bienes tiempo agotó,0
producto solicitado,cómo encontrar producto descuento,0
puede enviar número teléfono recibir atención cliente unidos,necesito número teléfono servicio cliente,1
cómo responder,comprador responde,0
cómo dejar comentarios,cómo elimino comentario,0
sigo intentando pagar funcionará,sigo tratando pagar rechaza,1
hola pregunto si sitio correcto inscribo programa afiliados confundido veo ningún lugar pueda obtener enlace publicar sitio web,permiso iniciar sesión,0
dónde puedo encontrar comentarios vendedor,abrí disputa comentarios vendedor,0
verdad respuesta,algún correo electrónico,0
cómo usar cupones seleccionados,puede usar cupón select,0
favor responda pregunta obtuve ningún reembolso caso comunico banko reembolso,cansado jugar estupidez responde pregunta,0
cómo tener cuenta desarrollador favor,cómo tener número teléfono favor,0
cuándo recibiré paquete,cuándo recibiré pedidos,1
compré cinco teléfonos celulares ipad,si pagan,0
sé sitio web inglés uso chat gente pudo entenderme,sé inglés,0
cómo puedo obtener reembolso,cómo puedo obtener reembolso,1
humano atender,puedo hablar humano,1
pasando,decir,0
favor ayuda 20 días hace pago consigue,pagué hace 7 días pedido cambiado todavía todavía esperando pago,0
vendedor quiere hacer reembolso completo puede hacerlo tiempo pasado,quiero cambiar dirección correo electrónico anterior pirateada cómo puedo hacer,0
cómo eliminar cupones,cómo borro cuenta,0
mitad año,dice correo electrónico existe,0
orden pago cerrado procesado,tarda procese pago,0
linterna vendedor cumple mensaje,pedidos recibieron mensaje terminado aún llegado,0
realizado pedido obtenido autorización método pago recibí pedido vendedor resto pedido simplemente puede ser procesado,hecho pedido recibido,1
protección compradores,orden viene automáticamente protección comprador,0
quiero cancelar tarjeta crédito,quiero reembolso tarjeta crédito,0
bot,bonita,0
pregunta,registrado sitio,0
quiero robot estúpido necesito respuesta,quiero hablar robot,1
cómo confirmar orden,cómo puedo confirmar pedido,1
vendedor envió color equivocado,vendedor envió tamaño incorrecto,0
puede alguien ayudarme,puedes ayudarme,1
debería hacer,olvidé contraseña tarjeta agregada debería hacer,0
satisfecho resultado disputa puedo hacer,satisfecho producto recibido puedo hacer,0
entonces podrías ayudarme,podría ayudarme si,1
hola esperando verifique apelación cuánto tiempo tardará vendedor preguntando pasó,esperando reembolso cuánto tiempo tardará,0
enviaste contraseña 4 veces aparece,orden muestra repetida,0
dado respuesta,respondiste pregunta,1
cómo ver protección comprador,cómo uso servicio protección comprador,1
diciendo reembolso,puedes decirme pedidos,0
cómo uso cupón selecto,cómo uso cupón 10,0
placer conocerte,buena chica,0
tarjeta crédito visa,cómo pagar tarjeta crédito,1
vendedor respondió,cometí error calificaciones vendedor puedo hacer,0
cómo eliminar tarjeta,cómo eliminar orden pagada,0
abrí disputa rechazan,abrí disputa,1
quiero responder diez mejores artículos favor díganme necesito diez artículos vendieron 2017 ir infierno,traté usar tarjeta débito visa comprar artículos línea aprobada,0
puedo pedir ayuda tarjeta crédito expiró cómo puedo ingresar nueva tarjeta cuenta pagarla gustaría pedir nuevos productos posible muchas gracias,gustaría producto entregue nueva dirección,0
necesito ayuda pedido,necesito ayuda ubicar pedido,0
trato reembolso devuelvo producto menú demasiado caro envío productos china quién soporta costo transporte bienes,gustaría devolver bienes,0
cuándo puedo hablar persona real,necesito persona real,1
pago comprar tarjeta maestra enfrenté siguiente error,comprando artículo número orden,0
pasará abra disputa,pasará si vendedor aprueba disputa,0
cómo restablecer contraseña,quiero restablecer contraseña correo electrónico,0
vendedor cambia método envío correo aéreo registrado poste china paquete pequeño ordinario poste china plus permiso así puedo paquete pista internacional,puede dar número contacto correo aéreo china verificar número rastreo,0
hola todavía recibido ninguno pedidos,pedidos cancelados todavía recibido reembolso,0
placer conocerte,tan bueno,0
cómo hacer apelación,cómo hacer pago webmoney,0
pedido sido enviado hace 20 días aún recibí,cancelé orden hace semanas aún recibido ningún reembolso,0
puedo ordenar nombre compañía,nombre calle equivocado puedo hacer,0
agregar dirección correo electrónico,confirme dirección correo electrónico,0
cómo contactar vendedor,cómo informo vendedor,0
enlace vacío,pedido vacío,0
quiero recibir recibo,cómo obtengo recibo,1
cómo confirmar orden,recibido pedido cómo confirmarlo,1
quiero regresar,quiero devolver bienes,1
entonces podrías ayudarme,podrías comunicarte conmigo ruso,0
cómo tener cuenta desarrollador favor,favor pregunta,0
cómo pagar usando idea,cómo empiezo usar trademanager,0
hola problema pago,problema orden,0
quería comunicarme segunda apelación 1 semana,pasado semana presenté reclamo,0
necesitas ayuda vivo favor,chat vivo favor,1
cuál número teléfono,cuál número teléfono,1
envío mensajería alemania,enviando gratis,0
cómo cancelar cuenta,si quiero cancelar pedido cuántos días volverá dinero cuenta,0
quiero quejarme,gustaría presentar queja,1
necesito chatear ahora,ir ahora,0
enlace debe abrirse navegador roto hace pesar pequeña mano aparece pasar cursor,cuándo debería recibir dinero vuelta,0
hola problema puedo realizar pedido sitio bloqueado medios pago embargo validado documentos respaldo hace tiempo entiendo ayuda,negocios pueden suspender cuenta,0
pregunta respuesta,respondiste pregunta,0
recuerdo nombre contraseña inicio sesión cuenta cómo funciona puedo encontrar nombre contraseña cuenta,olvidé contraseña cuenta puedes hacer nuevo,1
necesitas ayuda vivo favor,necesito ayuda cuenta,0
puede hacer pedido,quiero hacer pedido,0
eva recibido información envío seguimiento pedido enviado mensaje vendedor 2 veces últimos días recibido respuesta,recibido pago dentro 10 días,0
reembolso devolución,necesito devolver producto necesito remite,0
si solicito producto alemania entregado finlandia pagar aduanas impuestos,si compro pagar impuestos,1
mail,enlace verificación correo electrónico,0
reembolso resolver,disputa resolver,1
compré producto equivocado dinero debe,compré producto recibido correo electrónico confirmación,0
pedido sido retenido aduanas portuguesas necesito prueba compra factura recibo cómo puedo hacer,orden sido cancelada cómo reordena,0
cómo intercambiar monedas aplicaciones,cómo puedo hacer intercambio,0
recibido bienes,recibido bienes,1
quiero confirmar recibí mercancía contento puedo iniciar sesión,feliz,0
cómo puedo confirmar entrega vez recibido pedido,accidentalmente presioné confirmar entrega recibí pedido,0
pedido envió 3 mayo todavía tránsito,pagado pedido transferencia bancaria 7 días pedido sido cambiado,0
puedo difícilmente atención cliente,cómo puedo contactar servicio atención cliente ruso,0
cómo configurar dirección envío,cómo cambio dirección envío,0
vez intentaré puede funcionar tarjeta regalo visa,funcionará tarjeta crédito visa master,1
trata orden seguimiento,problema seguimiento orden,0
orden moviendo,orden,0
querer hacer pedido puedo,puedo hacer pedido,1
dónde vives eva,dónde envías,0
dirección devolución necesaria,devuelve dinero,0
reembolso devolución,quiero devolver artículo reembolso,1
vendedor cambia método envío correo aéreo registrado poste china paquete pequeño ordinario poste china plus permiso así puedo paquete pista internacional,correo aéreo china,0
pregunto cuándo recibí pedido,cuándo recibiré pedido,1
cómo extender protección comprador,puedo extender tiempo protección orden,1
compré abrigo 28 abril olvidé correo electrónico contraseña pagué tarjeta crédito hice pedido sigo enlace producto comprado,pagué orde pedido cambiado,0
cómo usar cupón tienda,cómo usar cupón registro,0
asi puedo t,quiero,0
cuál método envío,cómo elijo método envío,1
espera déjame mostrarte instantánea,favor hagamelo saber,0
hacen zapatos hombres talla 12 ee uu,cómo corresponde tamaño ee uu tamaño francia,0
hacer,debería hacer,1
quiero hacer compras cómo comprar,cuántos días vendrá reembolso,0
mismo diseño,mismo pedido acreditado dos veces,0
voy pedir ayuda,realmente ayudaste así intentaré manera,0
producto carrito desaparecerá puedo hacer,cómo agrego carrito compras,0
siempre reembolsando progreso,siempre aparece billetera kiwi,0
cómo aplicar comentarios,cómo elimino comentario,0
pedí artículo hace bastante tiempo todavía recibí,pido hace 2 meses aún entendí,1
bloqueadas cuentas puedo iniciar sesión,cuenta bloqueada,0
trabajo gracias,bien gracias,0
oye chat línea,cómo encontrar representante servicio chat línea rápidamente,1
cómo encuentro clubs malabares,cómo encuentro vendedores confiables,0
número seguimiento actualiza,número seguimiento pedido devuelto,0
buen día reemplazar número tarjeta pago,puedo obtener opciones pago además tarjeta crédito,0
cambiar contraseña aplicación,cómo usar cupón aplicación móvil,0
hice,hice pasos hacer reclamo recibí respuesta,0
problemas compradores,cuántas ordenes actuales,0
david howell hola necesito número teléfono ser humano puedo iniciar sesión favor ayuda,necesito número teléfono servicio cliente,1
incapaz configurar dirección envío,configuré dirección envío,1
puedes leer,puedes ayudar,0
hola dónde puedo cambiar dirección envío,puedo cambiar envío envío gratis,0
cómo abrir disputa,cómo abro disputa,1
necesito comprar pedido pagar tienda ajustar precio entonces pago,necesito pagar pedido western union,0
puedes ver si pagado favor si así necesito rastreado,sabes cuándo recibiré pagué entrega express,0
cancelando pedido hice error,hice pago duplicado error,0
puede alguien ayudarme,puedes ayudarme,1
cómo fi,cómo verificar motivo disputa,0
disputa,sucede orden disputa,1
monedas agregado,olvidé contraseña tarjeta agregada debería hacer,0
cómo llegar equipo soporte pagos,cuántos días llevará llegar destino,0
cómo puedo apelar órdenes procesadas razones seguridad,pasó última transacción,0
digo quiero abrir disputa página da error enviar,después hacer clic iniciar sesión aparece mensaje error,0
error hice dos órdenes necesito cancelar último,si cancelo orden hice pagaré completamente,0
sigue mostrando procesamiento reembolso,todavía esperando reembolso parcial orden,1
cómo encontrar vendedor,cómo encontrar preorden,0
todavía recibo pedido,entiendes digo,0
cómo encontrar número pedido,cómo averiguo si pedido sido enviado,0
precio,pasa si persona cambia continuamente precio,0
cómo agregar comentarios vendedor,cómo agrego tienda vendedor favorito,0
problema aquí pedido recibe servicio atención cliente accesible favor ayuda,favor ayuda verificar cuenta,0
hice pedido españa españa,coloqué orden duplicada,0
si producto pedido coloca europa quiero llegar finlandia debo pagar impuestos,quiero pagar pedido,0
puedo t verificar seguimiento,puedo ver,0
hola quiero cambiar contraseña cómo puedo hacer,cómo puedo recuperar contraseña,1
verificar correo electrónico,cómo verificar dirección correo electrónico,1
sentimos transacción pasó verificación debido razones seguridad transacción sido cerrada,transacción sido congelada tiempo,0
necesito hablar ser humano favor,necesito hablar humano,1
cómo obtener número orden,cómo obtener reembolso pedido cancelado,0
funciona,artículo funciona correctamente,0
quiero enviar correo electrónico,existe cuenta correo electrónico envió,0
ido mal envío paquete,orden sido enviada país equivocado,1
favor inicia chat,chatear agente,1
tienda dijo esperar pagan creo,vendedor dijo podía reabrir disputa,0
agregando tarjeta crédito,tarjeta crédito sobrecargada,0
vendedor cambia método envío correo aéreo registrado poste china paquete pequeño ordinario poste china plus permiso así puedo paquete pista internacional,realizo pedido ser enviado través fedex proveedor envía publicación china,1
pedido sido enviado hace 20 días aún recibí,recibido reembolso pasado 15 días hábiles,0
puedo pagar transferencia bancaria,quiero transferencia bancaria,0
deseo cambiar dirección correo electrónico dirección correo anterior uso,cómo puedo corregir dirección correo electrónico,1
cómo pasar apelación,pasó pago tarjeta crédito,0
cómo subir fotos,puedo cargar archivo adjunto,0
cómo puedo contactar vendedor,cómo puedo contactar vendedor enviar información,1
quiero artículo vendedor responde mensajes,quiero artículo,0
compte conecté,hablo ingles,0
cómo convierto vendedor,cómo puedo ser elegible protección comprador,0
necesita reembolso,debo hacer hacer reembolso,1
echa vistazo página,debo hacer después completar salida,0
carrito vacio,artículos desaparecieron carrito compras,1
decepcionado últimos 3 productos ordeno 1 enero 2 febrero aún llegaron partir ahora cómo tener confianza pedir cualquier cosa,recibido,1
entonces error vendedor quiere confirme pedido,quiero cancelar pedido error,0
puedo subir videos fotos disputa,necesito función subir fotos,0
recibí respuesta solicitud reembolso artículos fallas producción chat za domingo,cómo solicito reembolso,0
realizado pedido obtenido autorización método pago recibí pedido vendedor resto pedido simplemente puede ser procesado,cómo puedo pagar pedido completo solo pago,0
cómo cambio número,cómo cambio calificación,0
vendedor,tratando solicitar reembolso vendedor disputa finalizado,0
20 días suceden todavía pago recibe,cómo recibo reembolso tarjeta crédito después 20 días hábiles,1
cómo eliminar pedido carrito compras,cómo elimino elementos carrito compras,1
cómo cancelo disputa,cómo cancelar disputa abierta,1
traje peluca dijeron pulgadas puse ahora necesito devuelvan dinero terminado quieren enviarme dinero,hecho ayudó,0
quiero máquina escribir collar militar,difícil hablar máquina quiero hablar alguien,0
cómo responder disputa,cómo respondo mensaje vendedor,0
pago pedido puedo guardar datos tarjeta olvidé contraseña número pase,puedo pagar pedido tarjeta visa,0
solo quería saber si posible evitar fondos vuelvan acreditar cuenta orden cancelada recientemente gustaría utilizar mismos fondos recarga comprar cosa,gustaría saber sitio sigo pedido,0
acabo leer rechazaste apelación,cómo leo mensajes,0
satisfecho disputa,satisfecho productos,0
cuándo realizará reembolso,cuándo recibiré reembolso,1
nuevo correo electrónico,algún correo electrónico,0
cómo subir evidencia disputa,puedo subir evidencia disputa,1
hola dónde puedo cambiar dirección envío,quiero cambiar dirección envío,1
tiempo estimado entrega,tiempo procesamiento pedidos opciones tiempo entrega,0
olvidé contraseña puedo recuperarla puedo conectar correo existe,cómo puedo recuperar contraseña,1
hola recibí correo electrónico orden sido cancelada pagué,recibí correo electrónico verificar cuenta ningún enlace,0
comienza chatear,cómo comienzo pago,0
cómo posible cargue compre,cobrado pedí,1
instar vendedor enviar ite,vendedor enviaría producto,1
pongo contacto vendedor,puedes hablar portugués,1
creo vendedor emitiendo dinero,creo resultado reclamación injusto,0
puedo llamar servicio cliente,necesito número servicio cliente,1
puedes ayudar m,puede ayudar contactar proveedor,0
cómo agregar comentarios adicionales,cómo agrego comentarios adicionales,1
cómo pongo contacto vendedor,cómo puedo contactar vendedor,1
32 80 tomado cuenta,pedido cerró dinero dedujo cuenta bancaria,0
sé tarjeta funciona,orden seguimiento funciona,0
cómo dejar recibir correos,quiero ser cancelado correos electrónicos,1
cómo encontrar número orden,cómo obtener número orden,1
puedes ayudarme computadora,puedes ayudar,0
recibí reembolso total,hice pedido artículos total 135,0
quiero saber puedo enviar mensaje vendedores,puedo escribir mensaje centro mensajes,1
paga cancelada,cancelé pedido puedo esperar reembolso,0
recibido tamaño pequeño necesito tamaño grande,necesito saber tamaño,0
ayudaste,recibiste pregunta,1
puedo dejar comentarios,puedo dejar comentarios,1
puedes encontrar numero orden,cómo encontrar número orden,1
mostrado mensaje página senté allí pasó,visto qiwi página pago,0
cambiado 6 7 días,reclamación procesa varios días,0
diciendo comuniqué,pagué compra decía pago,0
orden moviendo,orden regalo hija,0
quién puede ayudarme favor,favor dame número línea ayuda,1
quién vendedor,quién creado,0
dónde poner número tarjeta,puedo poner dirección,0
